id_unificado,COD_MPIO_DIVIPOLA,codigo_departamento_divipola,nombre_departamento,nombre_municipio,tipo_entidad_divipola,longitud_divipola,latitud_divipola,nota_divipola,area_m2,pixeles_con_viento,pixeles_con_viento_tocan_al_mpio,densidad_pixeles_general,area_reserva_campesina_ha,indice_pobreza_multidimensional,asesinatos_100k_habitantes,grupos_armados_en_el_mpio,cantidad_grupos_armados_en_el_mpio,es_zomac,es_pdet,zomac_priorizados_art_170,zomac_priorizados_art_52,densidad_cultivos_coca_ha_km2,dist_min_coca_km,indice_pena_media_0_100,pocentaje_negro,pocentaje_raizal,pocentaje_gitano,pocentaje_palanquero,pocentaje_indigena,indice_pena_media_0_100_imputado_para_risk,coca_log,cercania_coca,z_indice_pena_media,z_cantidad_grupos_armados,z_coca_log,z_cercania_coca,risk_raw_seguridad,risk_score_01_calculado,riesgo_categoria,tipo_abordaje_zona,densidad_pixeles_disponibles_pct_exacta,universo_111_densidad_gt15,check_imputacion_indice_pena_media_0_100,check_cruce_divipola,check_imputacion_risk_score,observacion_validacion
5042,05042,5,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,Municipio,-75.826648,6.556484,,535454924.5973678,117,128,1.49,0.0000,"29,7",21.39113694,,0,1.0,0.0,No,No,0.0,59.38,84.2,3.0654010276060264,0.0,0.0,0.0,0.1001480449359923,84.2,0.0,0.01656178,2.24900428,-0.60931468,-0.43744925,-0.47681814,0.44534452,0.42440413,Alto,Remota,1.37,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5044,05044,5,ANTIOQUIA,ANZÁ,Municipio,-75.854442,6.302641,,260488461.5030928,0,0,0.0,0.0000,47.1,66.81812107,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,82.35347941,55.16,0.3445036016285625,0.0,0.0,0.0,0.0313185092389602,55.16,0.0,0.0119971,0.50799398,-0.60931468,-0.43744925,-0.48912309,-0.16585482,0.27791487,Bajo,Presencial,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5045,05045,5,ANTIOQUIA,APARTADÓ,Municipio,-76.625279,7.882968,,547980565.2744671,13,34,0.39,"29,403.6936",28,22.82722832,,0,1.0,1.0,ZOMAC-170,ZOMAC-NO 52,5.789398335,0.0,53.61,38.02804370262288,0.0284707640841311,0.0017794227552581,0.0071176910210327,0.7171073703690523,53.61,1.91536233,1.0,0.41506815,-0.60931468,1.01436971,2.17422517,0.49148717,0.43546338,Alto,Remota,0.15,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5051,05051,5,ANTIOQUIA,ARBOLETES,Municipio,-76.426708,8.849317,,775247035.7484432,2,3,0.02,0.0000,59.1,0.0,EGC,1,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,49.28982946,41.58,27.00254956429088,0.0304425586970584,0.0076106396742646,0.0114159595113969,3.645496403972754,41.58,0.0,0.01988474,-0.30615616,0.82391607,-0.43744925,-0.46786047,-0.01764876,0.31343618,Medio,Presencial con precaución,0.02,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5055,05055,5,ANTIOQUIA,ARGELIA,Municipio,-75.14107,5.731474,,249351174.75810823,0,0,0.0,0.0000,"48,7",87.23828514,EGC,1,1.0,0.0,No,No,0.0,12.65,46.08,0.8465765631961978,0.0,0.0,0.0,0.0297044408139016,46.08,0.0,0.07326007,-0.0363715,0.82391607,-0.43744925,-0.32397718,0.09835837,0.34124019,Medio,Presencial con precaución,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5059,05059,5,ANTIOQUIA,ARMENIA,Municipio,-75.786647,6.155667,,112356265.51325476,0,0,0.0,0.0000,37.7,0.0,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,84.41319125,32.15,0.1833900969347655,0.0,0.0,0.0,0.0785957558291852,32.15,0.0,0.01170779,-0.87150489,-0.60931468,-0.43744925,-0.48990297,-0.64879641,0.1621658,Bajo,Presencial,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5079,05079,5,ANTIOQUIA,BARBOSA,Municipio,-75.331627,6.439195,,209558172.67610356,68,76,2.27,0.0000,22.2,24.95410228,EGC,1,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,53.71708591,63.21,0.5064879765133009,0.0,0.0022410972412092,0.0,0.0448219448241859,63.21,0.0,0.01827583,0.99060875,0.82391607,-0.43744925,-0.47219759,0.43556839,0.42206104,Alto,Remota,2.03,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5086,05086,5,ANTIOQUIA,BELMIRA,Municipio,-75.667779,6.606319,,301925369.9699758,7,8,0.17,0.0000,"40,8",46.83840749,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,37.96,48.15,39.2222845391662,0.0,0.0,0.0,0.0186950831931202,48.15,0.0,0.02566735,0.08772944,-0.60931468,-0.43744925,-0.45227235,-0.3074198,0.24398527,Bajo,Presencial,0.14,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5088,05088,5,ANTIOQUIA,BELLO,Municipio,-75.555245,6.333587,,150472587.16470167,28,29,1.2,0.0000,14.2,6.70837629,EGC,1,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,70.4891226,62.12,1.9335929322111964,0.012142528158104,0.0018841854038437,0.003559016873927,0.0617594104593225,62.12,0.0,0.01398814,0.92526091,0.82391607,-0.43744925,-0.48375586,0.41096291,0.41616372,Alto,Remota,1.16,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5091,05091,5,ANTIOQUIA,BETANIA,Municipio,-75.97679,5.74615,,183342992.22271937,8,17,0.58,0.0000,"53,6",91.81050312,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,61.01,59.0,0.7451391314471999,0.0,0.0,0.0,0.3725695657235999,59.0,0.0,0.01612643,0.73821022,-0.60931468,-0.43744925,-0.4779917,-0.08360943,0.29762704,Medio,Presencial con precaución,0.27,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
